id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,match_id,match_date,league_name,home_team,away_team,league_season,home_goals,away_goals,score,source_file
2755403293,AttemptSaved,8633,701154,Kylian Mbappé,92.5,39.713095239,59,,0,1,103.103448276,35.6775,35.220000000000006,0.6934736808,0.1484171152114868,0.1198558583855629,RightFoot,RegularPlay,SecondHalf,0,"{'x': 0.6772486772486757, 'y': 0.18345864571428572, 'zoomRatio': 1}",0,1,1280020.0,Kylian,Mbappé,Kylian Mbappé,#085098,4506935,2024-12-04 20:00:00+00:00,LaLiga,Athletic Club,Real Madrid,2024/2025,2,1,2 - 1,25_J19_shotsMbappeAthleticMadrid.csv
2755411625,AttemptSaved,8633,701154,Kylian Mbappé,94.0,34.0,68,,0,1,104.1465517242,34.0,32.474999999999994,0.9374736796,0.7884,0.6142757534980774,RightFoot,Penalty,SecondHalf,0,"{'x': 1.4034391534391548, 'y': 0.24800890994708993, 'zoomRatio': 1}",0,1,1280020.0,Kylian,Mbappé,Kylian Mbappé,#085098,4506935,2024-12-04 20:00:00+00:00,LaLiga,Athletic Club,Real Madrid,2024/2025,2,1,2 - 1,25_J19_shotsMbappeAthleticMadrid.csv
2755419233,AttemptSaved,8633,701154,Kylian Mbappé,82.1470873792,51.1472611451,78,,0,1,104.051724138,35.525000000000006,32.70374999999999,1.0979999946,0.023757629096508,0.0444516725838184,RightFoot,RegularPlay,SecondHalf,0,"{'x': 1.3429232804232825, 'y': 0.29047618904761907, 'zoomRatio': 1}",0,0,1280020.0,Kylian,Mbappé,Kylian Mbappé,#085098,4506935,2024-12-04 20:00:00+00:00,LaLiga,Athletic Club,Real Madrid,2024/2025,2,1,2 - 1,25_J19_shotsMbappeAthleticMadrid.csv
2721909419,AttemptSaved,8633,701154,Kylian Mbappé,90.6,48.7650955389,13,,0,1,102.8189655174,36.36375,34.838750000000005,0.0834736838,0.0187703501433134,0.0257542412728071,RightFoot,RegularPlay,FirstHalf,0,"{'x': 0.7781084656084645, 'y': 0.02208298513227513, 'zoomRatio': 1}",0,1,,Kylian,Mbappé,Kylian Mbappé,#085098,4621548,2024-09-17 19:00:00+00:00,Champions League,Real Madrid,VfB Stuttgart,2024/2025,3,1,3 - 1,06_ChampJ1_shotsMbappeMadridStuttgart.csv
2721919577,Miss,8633,701154,Kylian Mbappé,95.640350876,42.2928125,23,,0,0,,,39.62904762,5.9142069072,0.1263374239206314,0.0,RightFoot,RegularPlay,FirstHalf,0,"{'x': 0.35540553202936975, 'y': 0.6772486772486772, 'zoomRatio': 0.4328560092957581}",0,1,,Kylian,Mbappé,Kylian Mbappé,#085098,4621548,2024-09-17 19:00:00+00:00,Champions League,Real Madrid,VfB Stuttgart,2024/2025,3,1,3 - 1,06_ChampJ1_shotsMbappeMadridStuttgart.csv
2721921723,AttemptSaved,8633,701154,Kylian Mbappé,93.4,47.3638216529,25,,0,1,102.4396551726,37.672,32.85625,0.5714736814000001,0.0235645398497581,0.0692755132913589,RightFoot,RegularPlay,FirstHalf,0,"{'x': 1.3025793650793662, 'y': 0.15118351359788362, 'zoomRatio': 1}",0,1,,Kylian,Mbappé,Kylian Mbappé,#085098,4621548,2024-09-17 19:00:00+00:00,Champions League,Real Madrid,VfB Stuttgart,2024/2025,3,1,3 - 1,06_ChampJ1_shotsMbappeMadridStuttgart.csv
2721928677,AttemptSaved,8633,701154,Kylian Mbappé,91.7,39.96523809599999,32,,1,1,95.2543859636,38.032142859,33.77125,1.219999994,0.0850204527378082,0.0,RightFoot,RegularPlay,FirstHalf,0,"{'x': 1.0605158730158726, 'y': 0.32275132116402117, 'zoomRatio': 1}",0,1,,Kylian,Mbappé,Kylian Mbappé,#085098,4621548,2024-09-17 19:00:00+00:00,Champions League,Real Madrid,VfB Stuttgart,2024/2025,3,1,3 - 1,06_ChampJ1_shotsMbappeMadridStuttgart.csv
2721953293,Goal,8633,701154,Kylian Mbappé,99.2105263157,36.745000000000005,46,,0,1,,,34.07625,1.219999994,0.8737501502037048,0.9900508522987366,RightFoot,RegularPlay,SecondHalf,0,"{'x': 0.9798280423280419, 'y': 0.32275132116402117, 'zoomRatio': 1}",0,1,,Kylian,Mbappé,Kylian Mbappé,#085098,4621548,2024-09-17 19:00:00+00:00,Champions League,Real Madrid,VfB Stuttgart,2024/2025,3,1,3 - 1,06_ChampJ1_shotsMbappeMadridStuttgart.csv
2721954597,AttemptSaved,8633,701154,Kylian Mbappé,94.0964912264,47.3638216529,48,,0,1,103.8620689656,37.05,36.745000000000005,0.160526315,0.0900150388479232,0.1303371340036392,RightFoot,RegularPlay,SecondHalf,0,"{'x': 0.2738095238095226, 'y': 0.042467279100529096, 'zoomRatio': 1}",0,1,,Kylian,Mbappé,Kylian Mbappé,#085098,4621548,2024-09-17 19:00:00+00:00,Champions League,Real Madrid,VfB Stuttgart,2024/2025,3,1,3 - 1,06_ChampJ1_shotsMbappeMadridStuttgart.csv
2721979653,AttemptSaved,8633,701154,Kylian Mbappé,91.8,37.431250000000006,90,4.0,1,1,94.0,36.745000000000005,33.2375,1.219999994,0.0779690146446228,0.0,RightFoot,RegularPlay,SecondHalf,0,"{'x': 1.2017195767195774, 'y': 0.32275132116402117, 'zoomRatio': 1}",0,1,,Kylian,Mbappé,Kylian Mbappé,#085098,4621548,2024-09-17 19:00:00+00:00,Champions League,Real Madrid,VfB Stuttgart,2024/2025,3,1,3 - 1,06_ChampJ1_shotsMbappeMadridStuttgart.csv
2763943457,AttemptSaved,8633,701154,Kylian Mbappé,98.3421052628,46.0326114612,73,,0,1,103.577586207,37.708,34.0,1.0145263108,0.1098547056317329,0.0805262103676796,LeftFoot,RegularPlay,SecondHalf,0,"{'x': 1, 'y': 0.2683932039153439, 'zoomRatio': 1}",0,1,,Kylian,Mbappé,Kylian Mbappé,#085098,4686824,2025-01-06 18:00:00+00:00,Copa del Rey,Deportiva Minera,Real Madrid,2024/2025,0,5,0 - 5,26_CR1_shotsMbappeMineraMadrid.csv
2763945317,Miss,8633,701154,Kylian Mbappé,92.1,38.956666668,90,0.0,0,0,,,30.316,4.7063448344,0.129251554608345,0.0,RightFoot,RegularPlay,SecondHalf,0,"{'x': 1.5301320270345649, 'y': 0.6772486772486772, 'zoomRatio': 0.5439465423970294}",0,1,,Kylian,Mbappé,Kylian Mbappé,#085098,4686824,2025-01-06 18:00:00+00:00,Copa del Rey,Deportiva Minera,Real Madrid,2024/2025,0,5,0 - 5,26_CR1_shotsMbappeMineraMadrid.csv
0,0,0,701154,Kylian Mbappé,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,Kylian,Mbappé,Kylian Mbappé,#085098,4506819,2024-09-29 19:00:00+00:00,LaLiga,Atletico Madrid,Real Madrid,2024/2025,1,1,1 - 1,09_J8_shotsMbappeAtleticoMadrid.csv
2756578907,AttemptSaved,8633,701154,Kylian Mbappé,88.5,31.7125,35,,0,1,103.9568965518,34.305,36.51625,0.160526315,0.0910901129245758,0.2666879594326019,RightFoot,RegularPlay,FirstHalf,0,"{'x': 0.33432539682539697, 'y': 0.042467279100529096, 'zoomRatio': 1}",0,0,278285.0,Kylian,Mbappé,Kylian Mbappé,#085098,4506908,2024-12-07 20:00:00+00:00,LaLiga,Girona,Real Madrid,2024/2025,0,3,0 - 3,21_J16_shotsMbappeGironaMadrid.csv
2756608871,Goal,8633,701154,Kylian Mbappé,99.3070175438,19.5151592383,62,,0,1,,,37.12625,0.0385263156,0.0637769773602485,0.0981486514210701,RightFoot,RegularPlay,SecondHalf,0,"{'x': 0.1729497354497358, 'y': 0.010192146984126984, 'zoomRatio': 1}",0,1,278285.0,Kylian,Mbappé,Kylian Mbappé,#085098,4506908,2024-12-07 20:00:00+00:00,LaLiga,Girona,Real Madrid,2024/2025,0,3,0 - 3,21_J16_shotsMbappeGironaMadrid.csv
2756616581,AttemptSaved,8633,701154,Kylian Mbappé,90.4,20.0056050984,72,,1,1,92.7,22.1775796217,34.305,1.219999994,0.0310381222516298,0.0,RightFoot,RegularPlay,SecondHalf,0,"{'x': 0.9193121693121694, 'y': 0.32275132116402117, 'zoomRatio': 1}",0,1,,Kylian,Mbappé,Kylian Mbappé,#085098,4506908,2024-12-07 20:00:00+00:00,LaLiga,Girona,Real Madrid,2024/2025,0,3,0 - 3,21_J16_shotsMbappeGironaMadrid.csv
